title,date_time,likes,views,link,description
,,,,https://www.youtube.com//watch?v=Q6QXk-rrW0M,
10-12 LPA JOBS for Freshers 💸 🧑‍💻Applications Closing Soon! Tech + Non Tech Roles | Job Vacancy 2024,"May 14, 2024",106,"3,106 views",https://www.youtube.com//watch?v=G_LoL_bBcQE,"<span class=""yt-core-attributed-string yt-core-attributed-string--white-space-pre-wrap"" dir=""auto"" role=""text""><span class=""yt-core-attributed-string--link-inherit-color"" dir=""auto"" style=""color: rgb(255, 255, 255);"">10-12 Lpa JOBS for Freshers 💸 🧑‍💻Applications Closing Soon! Tech + Non Tech Roles | Job Vacancy 2024
__________________________________</span></span>"
BUILD YOUR OWN UI/UX WEBSITE USING React.js | MERN Projects | GeeksforGeeks,"May 13, 2024",57,"1,209 views",https://www.youtube.com//watch?v=uZ9JiGzq3mM,"<span class=""yt-core-attributed-string yt-core-attributed-string--white-space-pre-wrap"" dir=""auto""><span class=""yt-core-attributed-string--link-inherit-color"" dir=""auto"" style=""color: rgb(255, 255, 255);"">MERN Stack Projects | MongoDB, Express.js, React, Node.js | Website Projects
GitHub Link: </span><span class=""yt-core-attributed-string--link-inherit-color"" dir=""auto"" style=""color: rgb(62, 166, 255);""><a class=""yt-core-attributed-string__link yt-core-attributed-string__link--call-to-action-color"" force-new-state=""true"" href=""https://www.youtube.com/redirect?event=video_description&amp;redir_token=QUFFLUhqazZKdHh5VzZLRVNNeDNkLWVWdDlJSkNkendSd3xBQ3Jtc0tsOXA5eGJGemlvODZIcjNZNmhieHBoM3REeDV1bms0R1N1SG1ZTUdYU1pYRGJNdVlMblFBUy1QSnVNQVdjRXFfQWVGSEllWVd6M3RfYjNIZXpMTzkwS3BhM1N2MFlzeHVxa0tlNmd2SXdvUUpSRnhXcw&amp;q=https%3A%2F%2Fgithub.com%2Frishavchanda%2FEcomerce-website&amp;v=uZ9JiGzq3mM"" rel=""nofollow"" tabindex=""0"" target=""_blank"">https://github.com/rishavchanda/Ecome...</a></span><span class=""yt-core-attributed-string--link-inherit-color"" dir=""auto"" style=""color: rgb(255, 255, 255);"">
</span></span>"
,,,,https://www.youtube.com//watch?v=zPqMnLhkfp4,
,,,,https://www.youtube.com//watch?v=Hpf6mr-7_5k,
,,,,https://www.youtube.com//watch?v=G_gowXgOFRA,
,,,,https://www.youtube.com//watch?v=5mw5IzWTFs0,
,,,,https://www.youtube.com//watch?v=DMhSsL3-SLk,
,,,,https://www.youtube.com//watch?v=a5C5lCGTIrs,
,,,,https://www.youtube.com//watch?v=EHmXVwjtgPs,
Top 8 Remote Jobs Websites For Freshers 🚀 |  Earn in Dollars | How to Get Remote Jobs in 2024?,"Apr 28, 2024",172,"2,753 views",https://www.youtube.com//watch?v=OIsIZ1w7aTU,"<span class=""yt-core-attributed-string yt-core-attributed-string--white-space-pre-wrap"" dir=""auto""><span class=""yt-core-attributed-string--link-inherit-color"" dir=""auto"" style=""color: rgb(255, 255, 255);"">Top Websites For Remote Jobs! 🚀💸

</span><span class=""yt-core-attributed-string--link-inherit-color"" dir=""auto"" style=""color: rgb(62, 166, 255);""><a class=""yt-core-attributed-string__link yt-core-attributed-string__link--call-to-action-color"" force-new-state=""true"" href=""https://www.youtube.com/redirect?event=video_description&amp;redir_token=QUFFLUhqa3RmVkFtakJRSE1mWjhFcXZ4cG9PYWhZMGhhUXxBQ3Jtc0tsSkg4cWU1LUZMdVBBSXAwc0tFQ3BUUEQzbWktVjJwYUs1MHN4ZmM1YzRWYUVCSFQxX0ltTW1XMC15Z3pkQW9qQWp3RnE2dGtFeVZYWnpaWEdHWXY1N1p2YlJHdFl1bWUzdDNXazBHM2dsMDNZaWlyaw&amp;q=https%3A%2F%2Fwww.uplers.com%2Fin%2F&amp;v=OIsIZ1w7aTU"" rel=""nofollow"" tabindex=""0"" target=""_blank"">https://www.uplers.com/in/</a></span></span>"
5 GENUINE Ways to EARN 40K+ as Student 💸🚀 | Pay Your College Fees | Earn Online ✅,"Apr 26, 2024",88,"1,892 views",https://www.youtube.com//watch?v=WEm6-g3dCBc,"<span class=""yt-core-attributed-string yt-core-attributed-string--white-space-pre-wrap"" dir=""auto"" role=""text""><span class=""yt-core-attributed-string--link-inherit-color"" dir=""auto"" style=""color: rgb(255, 255, 255);"">5 GENUINE Ways to EARN 40K+ as Student 💸🚀 | Pay Your College Fees | Earn Online ✅
___________________
</span></span>"
Image Classification using CNN | Machine Learning Projects | GeeksforGeeks,"Apr 25, 2024",53,"2,006 views",https://www.youtube.com//watch?v=qm56XcRBXWc,"<span class=""yt-core-attributed-string yt-core-attributed-string--white-space-pre-wrap"" dir=""auto""><span class=""yt-core-attributed-string--link-inherit-color"" dir=""auto"" style=""color: rgb(255, 255, 255);"">Data Set : </span><span class=""yt-core-attributed-string--link-inherit-color"" dir=""auto"" style=""color: rgb(62, 166, 255);""><a class=""yt-core-attributed-string__link yt-core-attributed-string__link--call-to-action-color"" force-new-state=""true"" href=""https://www.youtube.com/redirect?event=video_description&amp;redir_token=QUFFLUhqbEo3OVJUY3J1MWJaVXd3cmlIMkg5NVJXOWUwUXxBQ3Jtc0ttOWFNdjE3SWxaRnJiUXJwdlNvbTdyWWI3Qzh1QWNvT0J4QXRKM3dmclFSM0E4ZTIxMG5qUHRYTGJwMFluQlI4ZTVITzd0X0dLME5INDJKd2s4MUZLSTA4cXpRbEI4TTBISldOMmd4dE15dTdZdWNCOA&amp;q=https%3A%2F%2Fwww.kaggle.com%2Fdatasets%2Fsalader%2Fdogs-vs-cats%3Fresource%3Ddownload&amp;v=qm56XcRBXWc"" rel=""nofollow"" tabindex=""0"" target=""_blank"">https://www.kaggle.com/datasets/salad...</a></span><span class=""yt-core-attributed-string--link-inherit-color"" dir=""auto"" style=""color: rgb(255, 255, 255);"">

In this machine learning project tutorial, we delve into the fascinating world of image classif</span></span>"
Does CGPA Matters in Placement? | Low CGPA? Tier 3? Eligibility? | IT Jobs & Companies for Low CGPA,"Apr 24, 2024",77,"1,797 views",https://www.youtube.com//watch?v=mrap_vC0ZqU,"<span class=""yt-core-attributed-string yt-core-attributed-string--white-space-pre-wrap"" dir=""auto"" role=""text""><span class=""yt-core-attributed-string--link-inherit-color"" dir=""auto"" style=""color: rgb(255, 255, 255);"">Does CGPA Matters in Placement? | Low CGPA?Tier 3? Eligibility? | IT Jobs &amp; Companies for Low CGPA
</span></span>"
15 LPA+ Fresher JOBS in Java 🚀 | BEST ROADMAP from Scratch | Geeks For Geeks,"Apr 22, 2024",208,"4,729 views",https://www.youtube.com//watch?v=BWc2DeBaYuQ,"<span class=""yt-core-attributed-string yt-core-attributed-string--white-space-pre-wrap"" dir=""auto""><span class=""yt-core-attributed-string--link-inherit-color"" dir=""auto"" style=""color: rgb(255, 255, 255);"">📌 Complete Java Roadmap Link : </span><span class=""yt-core-attributed-string--link-inherit-color"" dir=""auto"" style=""color: rgb(62, 166, 255);""><a class=""yt-core-attributed-string__link yt-core-attributed-string__link--call-to-action-color"" force-new-state=""true"" href=""https://www.youtube.com/redirect?event=video_description&amp;redir_token=QUFFLUhqa1ZYM2Nwa3FuUUFPNWdtdG9yblNfTFZORHJ3d3xBQ3Jtc0ttazVXaFlIdmtrZkJrM0NUQjBrMC1GX09wUGNYNTNHdHNRcHgxUzJIajh2S0pFcGhkRGRtUjJMZExlMFVEM2EzVGVXUzJ4Q0lSdDQ4V19VTVVnR1hqTFp1WmxCbmZPcXlrb1l2T1pRd1ZYS3ZXa2M0Zw&amp;q=https%3A%2F%2Fdrive.google.com%2Fdrive%2Ffolders%2F11qoMZnTuZ2-72FWjv42aTxIt5h3C557v&amp;v=BWc2DeBaYuQ"" rel=""nofollow"" tabindex=""0"" target=""_blank"">https://drive.google.com/drive/folder...</a></span><span class=""yt-core-attributed-string--link-inherit-color"" dir=""auto"" style=""color: rgb(255, 255, 255);"">
___________________
</span></span>"
Top 10 Highest Paying Tech Jobs in India 2024 💸🚀 | Geeks For Geeks,"Apr 20, 2024",76,"1,784 views",https://www.youtube.com//watch?v=tGSmvrS_TJk,"<span class=""yt-core-attributed-string yt-core-attributed-string--white-space-pre-wrap"" dir=""auto"" role=""text""><span class=""yt-core-attributed-string--link-inherit-color"" dir=""auto"" style=""color: rgb(255, 255, 255);"">Top 10 Tech Companies Paying Highest Package in India 2024 💸🚀 | Geeks For Geeks
___________________
</span></span>"
Build an Ecommerce Website Like ZARA using React.js | MERN Projects | GeeksforGeeks,"Apr 19, 2024",125,"3,476 views",https://www.youtube.com//watch?v=jk2rhtBJ5S4,"<span class=""yt-core-attributed-string yt-core-attributed-string--white-space-pre-wrap"" dir=""auto""><span class=""yt-core-attributed-string--link-inherit-color"" dir=""auto"" style=""color: rgb(255, 255, 255);"">GitHub link : </span><span class=""yt-core-attributed-string--link-inherit-color"" dir=""auto"" style=""color: rgb(62, 166, 255);""><a class=""yt-core-attributed-string__link yt-core-attributed-string__link--call-to-action-color"" force-new-state=""true"" href=""https://www.youtube.com/redirect?event=video_description&amp;redir_token=QUFFLUhqbEwyOWM4Vjk5aHN3R0hwUFhZS1l5emF0cU5SZ3xBQ3Jtc0trX3JWbld1WE5SOHRPbzdZM1Z2YkJGbTZIVXYyWUM1dU5ndmRRRnBEcWg3c2w0bTR6TUltcEtwcjJvNGoyeUVPOUV2RHI3QW5yXzVnZ0VrdXdrdXZqUWd6dlpiaUdtcTZrb2psRFVyZG1mUkh4N1dhaw&amp;q=https%3A%2F%2Fgithub.com%2Frishavchanda%2FEcomerce-website&amp;v=jk2rhtBJ5S4"" rel=""nofollow"" tabindex=""0"" target=""_blank"">https://github.com/rishavchanda/Ecome...</a></span><span class=""yt-core-attributed-string--link-inherit-color"" dir=""auto"" style=""color: rgb(255, 255, 255);"">
Repo :  </span><span class=""yt-core-attributed-string--link-inherit-color"" dir=""auto"" style=""color: rgb(62, 166, 255);""><a class=""yt-core-attributed-string__link yt-core-attributed-string__link--call-to-action-color"" force-new-state=""true"" href=""https://www.youtube.com/redirect?event=video_description&amp;redir_token=QUFFLUhqbTAyNzZxMmNiZHpZMEJsYlZncU5Nb0RrZ2tkQXxBQ3Jtc0tudXlfaDFqeUwyR3B5TG9zRFk3aUZUbDV4MVFDd0lMcVk2bGFmLV9EeE9SUll5R3dMWkNldHJuOUtVWlE4UDZHUGhmeHVlajJFWllWOXh0X2VLNVZqX1dRMHNkT1N3cUpaakc0OFhEOEFOT1NjdFQ2VQ&amp;q=https%3A%2F%2Fdrive.google.com%2Fdrive%2Ffolders%2F1wCn6Uv9GnYAN0nCINSj9A4u-Ssv-3b5e%3Fusp%3Dsharing&amp;v=jk2rhtBJ5S4"" rel=""nofollow"" tabindex=""0"" target=""_blank"">https://drive.google.com/drive/folder...</a></span><span class=""yt-core-attributed-string--link-inherit-color"" dir=""auto"" style=""color: rgb(255, 255, 255);"">
</span></span>"
,,,,https://www.youtube.com//watch?v=dAzVSu5zavU,
3 Reasons Students QUIT Coding | How to Code Consistently ? | GeeksforGeeks,"Apr 16, 2024",78,"1,798 views",https://www.youtube.com//watch?v=oM0HOxae8_A,"<span class=""yt-core-attributed-string yt-core-attributed-string--white-space-pre-wrap"" dir=""auto"" role=""text""><span class=""yt-core-attributed-string--link-inherit-color"" dir=""auto"" style=""color: rgb(255, 255, 255);"">3 Reasons Students QUIT Coding | How to Code Consistently ? | GeeksforGeeks
__________________
</span></span>"
Is coding worth it in 2024? 😥 | AI better than coders? | Tech Layoffs & Recession,"Apr 14, 2024",139,"2,710 views",https://www.youtube.com//watch?v=GD8xHjxnyK8,"<span class=""yt-core-attributed-string yt-core-attributed-string--white-space-pre-wrap"" dir=""auto"" role=""text""><span class=""yt-core-attributed-string--link-inherit-color"" dir=""auto"" style=""color: rgb(255, 255, 255);"">Is coding worth it in 2024? 😥 | AI better than coders? | Tech Layoffs &amp; Recession
___________________
</span></span>"
,,,,https://www.youtube.com//watch?v=bd5DewlahnE,
,,,,https://www.youtube.com//watch?v=XbG-Z0gxrjs,
,,,,https://www.youtube.com//watch?v=2QbhA2mthy0,
High-Paying Tech Jobs Using AI | AI Tools for Coders | Geeks for Geeks,"Apr 7, 2024",153,"2,071 views",https://www.youtube.com//watch?v=PekLwtZVi3k,"<span class=""yt-core-attributed-string yt-core-attributed-string--white-space-pre-wrap"" dir=""auto""><span class=""yt-core-attributed-string--link-inherit-color"" dir=""auto"" style=""color: rgb(255, 255, 255);"">High Paying IT Job Using AI | AI Tools for Coders | Geeks for Geeks
___________________
Get 90% refund with our Three 90 Challenge: </span><span class=""yt-core-attributed-string--link-inherit-color"" dir=""auto"" style=""color: rgb(62, 166, 255);""><a class=""yt-core-attributed-string__link yt-core-attributed-string__link--call-to-action-color"" force-new-state=""true"" href=""https://www.youtube.com/redirect?event=video_description&amp;redir_token=QUFFLUhqa0VIUWgtQXJjQm9GNmo3bWdVSU10bWZQemxYd3xBQ3Jtc0tuRWpqV0gxYzhub1BvRS0tZGtoRmlUYVlPZ2ZfMUFoX01ORVRQeWtNdjlZSXdrOEEyRnltR21NQjIxbjF4Q01fQktiVENVYUxDZklWTncwZ29YY0MzUGRjNW5LOG9NMjhRcDlNQ2tuUWhacW1jTE51VQ&amp;q=https%3A%2F%2Fbit.ly%2F49eFEtu&amp;v=PekLwtZVi3k"" rel=""nofollow"" tabindex=""0"" target=""_blank"">https://bit.ly/49eFEtu</a></span><span class=""yt-core-attributed-string--link-inherit-color"" dir=""auto"" style=""color: rgb(255, 255, 255);""> </span></span>"
Web Dev vs App Dev in 2024? Which has more Salary ?🤔 | Career Scope & Skills | Geeks for Geeks,"Apr 5, 2024",107,"1,921 views",https://www.youtube.com//watch?v=hRTRjWm-2pQ,"<span class=""yt-core-attributed-string yt-core-attributed-string--white-space-pre-wrap"" dir=""auto""><span class=""yt-core-attributed-string--link-inherit-color"" dir=""auto"" style=""color: rgb(255, 255, 255);"">Web Dev vs App Dev 🤔 | Career Scope &amp; Salary | Geeks for Geeks 
___________________
Get 90% refund with our Three 90 Challenge: </span><span class=""yt-core-attributed-string--link-inherit-color"" dir=""auto"" style=""color: rgb(62, 166, 255);""><a class=""yt-core-attributed-string__link yt-core-attributed-string__link--call-to-action-color"" force-new-state=""true"" href=""https://www.youtube.com/redirect?event=video_description&amp;redir_token=QUFFLUhqbVFaZHBmVG1kRE5lYUh2TEl0Ukh4cjhqVnhQd3xBQ3Jtc0tuaXFJYTlwSTJnYUxUdE52bHg3S3hiZVc0ZW45cUYwTzIyb2RNOWowNnFMS0x2Z1hIVjQ2UzdfaUo3Q2NjWG5YelJSMDRJanBoUDBKTHJTN1drTEVjU25tV1l6NnRZUWlzTjllYnhiVHdVSmJtS0pmZw&amp;q=https%3A%2F%2Fbit.ly%2F49eFEtu&amp;v=hRTRjWm-2pQ"" rel=""nofollow"" tabindex=""0"" target=""_blank"">https://bit.ly/49eFEtu</a></span><span class=""yt-core-attributed-string--link-inherit-color"" dir=""auto"" style=""color: rgb(255, 255, 255);""> </span></span>"
Build a Fitness Tracker Website using React JS |MERN Projects |GeeksforGeeks,"Apr 3, 2024",237,"10,795 views",https://www.youtube.com//watch?v=HISjHTE2vnM,"<span class=""yt-core-attributed-string yt-core-attributed-string--white-space-pre-wrap"" dir=""auto""><span class=""yt-core-attributed-string--link-inherit-color"" dir=""auto"" style=""color: rgb(255, 255, 255);"">Resource : </span><span class=""yt-core-attributed-string--link-inherit-color"" dir=""auto"" style=""color: rgb(62, 166, 255);""><a class=""yt-core-attributed-string__link yt-core-attributed-string__link--call-to-action-color"" force-new-state=""true"" href=""https://www.youtube.com/redirect?event=video_description&amp;redir_token=QUFFLUhqbVhEb0UwaGxGUzFnNU5tUElPR2pGNG12bDNxUXxBQ3Jtc0tudUxGZWJMb0dZY3lQSjY3Rl9NM2F4M3ItUzZvYWw5OHFRd0Z5Szc4ZlN3N01hZ2kwWWVEZHk3V0hrT0l1SDBXMGVTR1hldHF2c1NLTXcwaWstcXRyY0NYSzVXSHU4SnVTUkxPb3VlOE1pckFpQ2Jsdw&amp;q=https%3A%2F%2Fgithub.com%2Frishavchanda%2FFItnessTrack&amp;v=HISjHTE2vnM"" rel=""nofollow"" tabindex=""0"" target=""_blank"">https://github.com/rishavchanda/FItne...</a></span><span class=""yt-core-attributed-string--link-inherit-color"" dir=""auto"" style=""color: rgb(255, 255, 255);"">
Learn how to build a Fitness Tracker Website from scratch using React JS in this comprehensive tutorial by GeeksforGeeks. This MERN (MongoDB, Express.js, React, Node.js) project will te</span></span>"
Top 7 High Paying Tech Jobs in 2024 | Skills and Salary Expected | Geeks for Geeks,"Apr 3, 2024","1,006","28,722 views",https://www.youtube.com//watch?v=BS-y9ieR-mQ,"<span class=""yt-core-attributed-string yt-core-attributed-string--white-space-pre-wrap"" dir=""auto""><span class=""yt-core-attributed-string--link-inherit-color"" dir=""auto"" style=""color: rgb(255, 255, 255);"">Top 7 High Paying Tech Jobs in 2024 | Skills and Salary Expected | Geeks for Geeks  
___________________
Get 90% refund with our Three 90 Challenge: </span><span class=""yt-core-attributed-string--link-inherit-color"" dir=""auto"" style=""color: rgb(62, 166, 255);""><a class=""yt-core-attributed-string__link yt-core-attributed-string__link--call-to-action-color"" force-new-state=""true"" href=""https://www.youtube.com/redirect?event=video_description&amp;redir_token=QUFFLUhqbHhjU2NGZFlPbktjdmlqRGh3WkVEVGVxRTQ4UXxBQ3Jtc0ttaDBnLU5DQjU2M0V3NTZBVVdRV2k2dVV1V1dHQXZhbEhaRE1ZNVBwcF9McmtaVmIzZ1NxOWxNMDJCYXpadzQxcEQ4ajBDdkF3cWdWRmVnZ0czWkY2em5TY3ZNbjZJQWkxRTljYnh1dTl0ZVp2ZjVoMA&amp;q=https%3A%2F%2Fbit.ly%2F49eFEtu&amp;v=BS-y9ieR-mQ"" rel=""nofollow"" tabindex=""0"" target=""_blank"">https://bit.ly/49eFEtu</a></span><span class=""yt-core-attributed-string--link-inherit-color"" dir=""auto"" style=""color: rgb(255, 255, 255);""> </span></span>"
GATE AIR 21 Shares her secret to become a GATE Topper | GATE Topper Interview | GeeksforGeeks,"Apr 1, 2024",44,"1,109 views",https://www.youtube.com//watch?v=M5tEUGFpCg0,"<span class=""yt-core-attributed-string yt-core-attributed-string--white-space-pre-wrap"" dir=""auto"" role=""text""><span class=""yt-core-attributed-string--link-inherit-color"" dir=""auto"" style=""color: rgb(255, 255, 255);"">Meet Anshika Modi who scored AIR 21 in her GATE 2024 CS, In this video she gave some powerful tips for any one who is preparing for GATE exam. 
To Get a Top Rank in GATE it's always better to start on time, but still many students who st</span></span>"
5 Ways to Become Top 1% Coders in 2024 | Get Jobs in IT | Geeks for Geeks,"Apr 1, 2024",100,"1,645 views",https://www.youtube.com//watch?v=OrNjShjUdow,"<span class=""yt-core-attributed-string yt-core-attributed-string--white-space-pre-wrap"" dir=""auto"" role=""text""><span class=""yt-core-attributed-string--link-inherit-color"" dir=""auto"" style=""color: rgb(255, 255, 255);"">5 Ways to Become Top 1% Coders in 2024 | Get Jobs in IT | Geeks for Geeks
___________________
</span></span>"
,,,,https://www.youtube.com//watch?v=mh7En1ir_XM,
,,,,https://www.youtube.com//watch?v=-d-ZuuF8czQ,
,,,,https://www.youtube.com//watch?v=YxRErpzCa7c,
,,,,https://www.youtube.com//watch?v=kxT8AursXXw,
,,,,https://www.youtube.com//watch?v=zwGcJ62lZ5g,
,,,,https://www.youtube.com//watch?v=i8w_2n1GH44,
,,,,https://www.youtube.com//watch?v=mpIDwAT7m_0,
3D PORTFOLIO WEBSITE using React and Three JS | GeeksforGeeks,"Mar 12, 2024",291,"12,001 views",https://www.youtube.com//watch?v=udtb67DKyq0,"<span class=""yt-core-attributed-string yt-core-attributed-string--white-space-pre-wrap"" dir=""auto""><span class=""yt-core-attributed-string--link-inherit-color"" dir=""auto"" style=""color: rgb(255, 255, 255);"">Resource : 
Drive Link: </span><span class=""yt-core-attributed-string--link-inherit-color"" dir=""auto"" style=""color: rgb(62, 166, 255);""><a class=""yt-core-attributed-string__link yt-core-attributed-string__link--call-to-action-color"" force-new-state=""true"" href=""https://www.youtube.com/redirect?event=video_description&amp;redir_token=QUFFLUhqa3FtSXAxNkhrUUpNUVViSlVXSEtLNUw0WUZod3xBQ3Jtc0tuTjhMeFhXcTlPWEpQT1dzaVRzUVBydDk2WWxFSG9SSTlhSG9NUjlvc2FpMUZYTGYyWmk4UGUwendzejNXOXBRMDhvQWw2dnpiOTNJYzNoQ01zb3A5MU5PNmlDTGVpd05jd0VnV05fNUJIZUI1MHo4MA&amp;q=https%3A%2F%2Fdrive.google.com%2Fdrive%2Ffolders%2F1-E9mb0Dv2Nhd05T7KKjE8MA-nAKnfTb2%3Fusp%3Dsharing&amp;v=udtb67DKyq0"" rel=""nofollow"" tabindex=""0"" target=""_blank"">https://drive.google.com/drive/folder...</a></span><span class=""yt-core-attributed-string--link-inherit-color"" dir=""auto"" style=""color: rgb(255, 255, 255);"">
</span></span>"
,,,,https://www.youtube.com//watch?v=CkiXRQvz4Z4,
HEART DISEASE DETECTION using MACHINE LEARNING | Machine Learning Projects | GeeksforGeeks,"Mar 4, 2024",82,"2,343 views",https://www.youtube.com//watch?v=F_9gGyCs3YY,"<span class=""yt-core-attributed-string yt-core-attributed-string--white-space-pre-wrap"" dir=""auto"" role=""text""><span class=""yt-core-attributed-string--link-inherit-color"" dir=""auto"" style=""color: rgb(255, 255, 255);"">Welcome to our Machine Learning Project Series! 📊🔍  In this episode, we will dive into healthcare analytics with a focus on Heart Disease Detection using Logistic Regression.
</span></span>"
