title,views,date_time,video_link,thumbnail_link
"Upto 20 LPA Jobs For Freshers With These Top 7 Skills | Salary, Scope, Roles & Responsibility etc.",1.3K views,4 weeks ago,https://www.youtube.com//watch?v=Q6QXk-rrW0M,https://i.ytimg.com/vi/Q6QXk-rrW0M/hqdefault.jpg
10-12 LPA JOBS for Freshers 💸 🧑‍💻Applications Closing Soon! Tech + Non Tech Roles | Job Vacancy 2024,3.1K views,1 month ago,https://www.youtube.com//watch?v=G_LoL_bBcQE,https://i.ytimg.com/vi/G_LoL_bBcQE/hqdefault.jpg
BUILD YOUR OWN UI/UX WEBSITE USING React.js | MERN Projects | GeeksforGeeks,1.1K views,1 month ago,https://www.youtube.com//watch?v=uZ9JiGzq3mM,https://i.ytimg.com/vi/uZ9JiGzq3mM/hqdefault.jpg
"Get DREAM JOB with these NETWORKING TIPS! 💸💡LinkedIn, Referrals, Cold Messaging, Networking Events",1.3K views,1 month ago,https://www.youtube.com//watch?v=zPqMnLhkfp4,https://i.ytimg.com/vi/zPqMnLhkfp4/hqdefault.jpg
RECURSION PRACTICE PROBLEM | Recursive Algorithm | DSA Course | GeeksforGeeks,689 views,1 month ago,https://www.youtube.com//watch?v=Hpf6mr-7_5k,https://i.ytimg.com/vi/Hpf6mr-7_5k/hqdefault.jpg
"Best Startup Ideas in College 2024 💸🚀| Earn Better than Placement? 🤑 | Guide, Ideas, Funding etc",1.4K views,1 month ago,https://www.youtube.com//watch?v=G_gowXgOFRA,https://i.ytimg.com/vi/G_gowXgOFRA/hqdefault.jpg
Get 20LPA+ Jobs with these 5 Unique Project Ideas💡| Projects for Internships and Placements,2.5K views,1 month ago,https://www.youtube.com//watch?v=5mw5IzWTFs0,https://i.ytimg.com/vi/5mw5IzWTFs0/hqdefault.jpg
"Hate Coding? Upto 44 LPA Non Tech Jobs in 2024 💸 | Skills, Role and Salary Expected.",1.6K views,1 month ago,https://www.youtube.com//watch?v=DMhSsL3-SLk,https://i.ytimg.com/vi/DMhSsL3-SLk/hqdefault.jpg
Asking Coding Questions to Students Worth 20k Prices 🥳🤑| Kaun Banega Codepati ? 💸,1.1K views,1 month ago,https://www.youtube.com//watch?v=a5C5lCGTIrs,https://i.ytimg.com/vi/a5C5lCGTIrs/hqdefault.jpg
"Data Analyst vs Data Scientist vs Data Engineer | Differences, Skills, Salary & Responsibilities 💸",6.8K views,1 month ago,https://www.youtube.com//watch?v=EHmXVwjtgPs,https://i.ytimg.com/vi/EHmXVwjtgPs/hqdefault.jpg
Top 8 Remote Jobs Websites For Freshers 🚀 |  Earn in Dollars | How to Get Remote Jobs in 2024?,2.7K views,1 month ago,https://www.youtube.com//watch?v=OIsIZ1w7aTU,https://i.ytimg.com/vi/OIsIZ1w7aTU/hqdefault.jpg
5 GENUINE Ways to EARN 40K+ as Student 💸🚀 | Pay Your College Fees | Earn Online ✅,1.8K views,1 month ago,https://www.youtube.com//watch?v=WEm6-g3dCBc,https://i.ytimg.com/vi/WEm6-g3dCBc/hqdefault.jpg
Image Classification using CNN | Machine Learning Projects | GeeksforGeeks,1.9K views,1 month ago,https://www.youtube.com//watch?v=qm56XcRBXWc,https://i.ytimg.com/vi/qm56XcRBXWc/hqdefault.jpg
Does CGPA Matters in Placement? | Low CGPA? Tier 3? Eligibility? | IT Jobs & Companies for Low CGPA,1.7K views,1 month ago,https://www.youtube.com//watch?v=mrap_vC0ZqU,https://i.ytimg.com/vi/mrap_vC0ZqU/hqdefault.jpg
15 LPA+ Fresher JOBS in Java 🚀 | BEST ROADMAP from Scratch | Geeks For Geeks,4.7K views,1 month ago,https://www.youtube.com//watch?v=BWc2DeBaYuQ,https://i.ytimg.com/vi/BWc2DeBaYuQ/hqdefault.jpg
Top 10 Highest Paying Tech Jobs in India 2024 💸🚀 | Geeks For Geeks,1.7K views,1 month ago,https://www.youtube.com//watch?v=tGSmvrS_TJk,https://i.ytimg.com/vi/tGSmvrS_TJk/hqdefault.jpg
Build an Ecommerce Website Like ZARA using React.js | MERN Projects | GeeksforGeeks,3.4K views,1 month ago,https://www.youtube.com//watch?v=jk2rhtBJ5S4,https://i.ytimg.com/vi/jk2rhtBJ5S4/hqdefault.jpg
How to Start Coding in 2024? 🚀 | Programming Language for Beginners | Geeks for Geeks,2.5K views,1 month ago,https://www.youtube.com//watch?v=dAzVSu5zavU,https://i.ytimg.com/vi/dAzVSu5zavU/hqdefault.jpg
3 Reasons Students QUIT Coding | How to Code Consistently ? | GeeksforGeeks,1.7K views,1 month ago,https://www.youtube.com//watch?v=oM0HOxae8_A,https://i.ytimg.com/vi/oM0HOxae8_A/hqdefault.jpg
Is coding worth it in 2024? 😥 | AI better than coders? | Tech Layoffs & Recession,2.7K views,2 months ago,https://www.youtube.com//watch?v=GD8xHjxnyK8,https://i.ytimg.com/vi/GD8xHjxnyK8/hqdefault.jpg
Build a Food Delivery Website using React.js | MERN Stack Projects | GeeksforGeeks,8K views,2 months ago,https://www.youtube.com//watch?v=bd5DewlahnE,https://i.ytimg.com/vi/bd5DewlahnE/hqdefault.jpg
5 Ways to Prepare for Layoffs in 2024! | AI Tools | Upskilling | Side Hustles,1.6K views,2 months ago,https://www.youtube.com//watch?v=XbG-Z0gxrjs,https://i.ytimg.com/vi/XbG-Z0gxrjs/hqdefault.jpg
"Get Hired From Linkedin in 2024 | Best Linkedin Profile Creation | Skills, Experiences & Networking🚀",2.8K views,2 months ago,https://www.youtube.com//watch?v=2QbhA2mthy0,https://i.ytimg.com/vi/2QbhA2mthy0/hqdefault.jpg
High-Paying Tech Jobs Using AI | AI Tools for Coders | Geeks for Geeks,2K views,2 months ago,https://www.youtube.com//watch?v=PekLwtZVi3k,https://i.ytimg.com/vi/PekLwtZVi3k/hqdefault.jpg
Web Dev vs App Dev in 2024? Which has more Salary ?🤔 | Career Scope & Skills | Geeks for Geeks,1.9K views,2 months ago,https://www.youtube.com//watch?v=hRTRjWm-2pQ,https://i.ytimg.com/vi/hRTRjWm-2pQ/hqdefault.jpg
Build a Fitness Tracker Website using React JS |MERN Projects |GeeksforGeeks,10K views,2 months ago,https://www.youtube.com//watch?v=HISjHTE2vnM,https://i.ytimg.com/vi/HISjHTE2vnM/hqdefault.jpg
Top 7 High Paying Tech Jobs in 2024 | Skills and Salary Expected | Geeks for Geeks,28K views,2 months ago,https://www.youtube.com//watch?v=BS-y9ieR-mQ,https://i.ytimg.com/vi/BS-y9ieR-mQ/hqdefault.jpg
GATE AIR 21 Shares her secret to become a GATE Topper | GATE Topper Interview | GeeksforGeeks,1.1K views,2 months ago,https://www.youtube.com//watch?v=M5tEUGFpCg0,https://i.ytimg.com/vi/M5tEUGFpCg0/hqdefault.jpg
5 Ways to Become Top 1% Coders in 2024 | Get Jobs in IT | Geeks for Geeks,1.6K views,2 months ago,https://www.youtube.com//watch?v=OrNjShjUdow,https://i.ytimg.com/vi/OrNjShjUdow/hqdefault.jpg
Tips to ace your tech job search | Resume tips by expert from @indeedindiaofficial   | GeeksforGeeks,901 views,2 months ago,https://www.youtube.com//watch?v=mh7En1ir_XM,
Three 90 Challenge Back with Benefits | GeeksforGeeks,57K views,2 months ago,https://www.youtube.com//watch?v=-d-ZuuF8czQ,
7 JAVASCRIPT Concepts Every DEVELOPER Must Know! | GeeksforGeeks,864 views,2 months ago,https://www.youtube.com//watch?v=YxRErpzCa7c,
MOVIE RECOMMENDATION SYSTEM Using Machine Learning | Machine Leaning Projects | GeeksforGeeks,3.2K views,2 months ago,https://www.youtube.com//watch?v=kxT8AursXXw,
MASTERING RECURSION | Recursive Algorithm | DSA Course | GeeksforGeeks,966 views,2 months ago,https://www.youtube.com//watch?v=zwGcJ62lZ5g,
Is Software Engineering Dead ? - Meet Devin by Cognition Labs | GeeksforGeeks,1.6K views,2 months ago,https://www.youtube.com//watch?v=i8w_2n1GH44,
7 BEST AI Tools for Developers in 2024 | GeeksforGeeks,1.4K views,3 months ago,https://www.youtube.com//watch?v=mpIDwAT7m_0,
3D PORTFOLIO WEBSITE using React and Three JS | GeeksforGeeks,11K views,3 months ago,https://www.youtube.com//watch?v=udtb67DKyq0,
FAKE NEWS DETECTION Using MACHINE LEARNING | Machine Learning Projects | GeeksforGeeks,9.8K views,3 months ago,https://www.youtube.com//watch?v=CkiXRQvz4Z4,
HEART DISEASE DETECTION using MACHINE LEARNING | Machine Learning Projects | GeeksforGeeks,2.3K views,3 months ago,https://www.youtube.com//watch?v=F_9gGyCs3YY,
WHY LEARN PYTHON in 2024? | Benefits of Learning Python | GeeksforGeeks,1.3K views,3 months ago,https://www.youtube.com//watch?v=AmU9Zi6TNrs,
Doctor Aaye #successsepareshan Rohan ko Dekhne...,264K views,3 months ago,https://www.youtube.com//watch?v=zbBALFXGy4Y,
ATS Friendly Resume for Placement in 2024!!! GeeksforGeeks,1.2K views,3 months ago,https://www.youtube.com//watch?v=GF69ZVc1icg,
React JS Made Easy with ChatGPT | GeeksforGeeks,1.4K views,3 months ago,https://www.youtube.com//watch?v=MSmDIkWEtoc,
TREE PRACTICE PROBLEMS | Tree Traversal Algorithms | DSA Course | GeeksforGeeks,1.7K views,3 months ago,https://www.youtube.com//watch?v=0lLmU-VqXzk,
GATE CS 2024 ANSWER KEY OUT!! Detailed Paper Discussion - Shift 1 | GeeksforGeeks,876 views,3 months ago,https://www.youtube.com//watch?v=9fTvjjI67Rk,
GATE DS & AI 2024 Response Sheet Out | GATE DS & AI | Data Science GATE Response key | GeeksforGeeks,1K views,3 months ago,https://www.youtube.com//watch?v=iFGoMXC4Cxo,
Kyun Hai Rohan #successsepareshan? | GeeksforGeeks,273K views,3 months ago,https://www.youtube.com//watch?v=v41P3Y5Xol8,
TREE DATA STRUCTURES | What is Tree? | DSA Course | GeeksforGeeks,4K views,4 months ago,https://www.youtube.com//watch?v=AylOfzYJ2qE,
Three 90 Challenge Extended | 100+ Refunds Processed! | GeeksforGeeks,32K views,4 months ago,https://www.youtube.com//watch?v=FVCERWiQSDY,
TYPESCRIPT vs JAVASCRIPT | Which one to Choose? | GeeksforGeeks,887 views,4 months ago,https://www.youtube.com//watch?v=BFf8n2RrKtM,
